GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
check,2,33.814,15.569,28.213,16618.000,.078,.113,20.000,14.694,1403.211,11078.580,0,.000
check,3,16.192,9.394,72.815,30689.850,.053,.067,81.000,27.476,4.426,20.013,0,.000
check,4,28.239,11.620,39.202,613.000,.093,.130,89.000,41.078,4.158,19.869,0,7.934
check,5,41.551,12.731,29.988,5673.588,.092,.185,126.000,54.661,4.121,19.830,0,26.761
check,6,17.906,8.420,57.722,28392.000,.067,.100,61.000,23.363,4.998,20.103,0,.000
check,7,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
check,8,36.356,16.806,155.230,73026.648,.089,.151,94.000,25.036,1653.143,13191.807,0,5.743
check,9,14.115,8.161,30.772,7333.725,.047,.059,49.000,14.582,7.319,24.177,0,.000
check,10,27.320,11.244,58.975,24952.000,.057,.088,65.000,22.312,4.834,19.687,0,.000
circle,1,46.633,11.473,53.043,9495.539,.055,.057,190.000,40.118,.342,.288,0,1588.048
circle,2,22.988,8.126,140.557,31392.101,.052,.048,79.000,21.328,.343,.580,0,103.202
circle,3,30.948,6.322,157.104,30553.002,.044,.034,18.000,15.030,.331,.563,0,420.513
circle,4,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
circle,5,13.396,4.557,13.834,1708.013,.040,.037,.000,7.723,.340,.571,0,271.966
circle,6,22.176,6.115,66.121,14586.516,.042,.040,50.000,13.478,.459,1.720,0,417.327
circle,7,47.964,8.478,184.217,47131.249,.045,.041,27.000,11.329,.622,2.107,0,909.183
circle,8,32.974,8.641,116.822,27352.904,.050,.051,121.000,32.209,.388,.584,0,477.179
circle,9,49.100,4.685,121.015,19044.435,.051,.043,77.000,23.758,1.081,6.006,0,1695.920
circle,10,52.367,5.842,62.149,9190.902,.055,.048,81.000,19.623,.305,.346,0,2581.123
delete,1,22.435,7.608,36.342,10745.000,.158,.413,23.000,21.170,.538,.614,0,372.154
delete,2,22.500,7.923,126.440,17126.222,.119,.379,40.000,21.359,.625,.715,0,158.530
delete,3,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
delete,4,18.943,8.037,42.553,14375.795,.134,.329,7.000,18.707,.620,.701,0,312.291
delete,5,14.187,10.781,6.356,654.000,.126,.387,16.000,16.996,.884,2.216,0,174.184
delete,6,14.067,5.985,45.020,8770.554,.133,.380,30.000,28.175,.535,.518,0,147.801
delete,7,25.650,10.917,95.768,18658.000,.162,.343,85.000,23.187,1.081,2.118,0,519.499
delete,8,16.445,5.534,15.226,5509.580,.125,.309,24.000,12.156,.658,.649,0,401.393
delete,9,13.395,5.374,50.109,3130.795,.073,.120,81.000,30.927,.571,.799,0,154.310
delete,10,12.790,5.575,48.219,9872.676,.104,.287,87.000,16.855,.529,.618,0,103.714
left curly brace,1,39.747,14.231,16.613,11785.888,.170,.351,101.000,55.487,.582,1.054,0,12.806
left curly brace,2,26.775,15.396,46.438,23704.993,.150,.478,66.000,33.939,.340,.346,0,6.846
left curly brace,3,19.578,6.215,29.878,2205.000,.150,.353,126.000,39.933,.498,.454,0,30.203
left curly brace,4,19.758,8.028,81.492,20493.647,.159,.404,98.000,20.774,.539,.668,0,2.934
left curly brace,5,20.838,9.846,71.085,16544.823,.163,.459,97.000,23.602,.649,1.248,0,1.350
left curly brace,6,24.259,7.123,179.405,27553.659,.143,.367,32.000,27.926,.441,.429,0,128.319
left curly brace,7,19.481,11.536,73.564,19216.057,.156,.398,52.000,13.119,.339,.373,0,9.887
left curly brace,8,13.900,8.507,14.055,3326.004,.168,.434,78.000,28.829,.365,.370,0,.348
left curly brace,9,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
left curly brace,10,10.757,5.443,17.509,2840.588,.150,.484,67.000,16.654,.372,.375,0,.042
left sq bracket,1,8.817,3.118,41.899,3989.217,.093,.154,80.000,33.081,.281,.362,0,.000
